what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1779167299646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167329890
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167333625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779167340027
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167347437
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1779167370238
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167370333
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167370429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1779167373766
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1779167381193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167398088
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167416054
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779167417108
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1779167417156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167426445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167438977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167445750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167679468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167681137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167682079
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779167682158
